Title,"Release Date","IMDb Url",Format,Distributor,"Added Date"
"'Allo 'Allo!: Complete Series 1 & 2",1982,https://www.imdb.com/title/tt0086659/?ref_=ref_ext_clz,DVD,Universal,"Mar 10, 2026"
"'Allo 'Allo: Complete Series 3 & 4",1982,https://www.imdb.com/title/tt0086659/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"12 Rounds",2009,https://www.imdb.com/title/tt1160368/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 29, 2026"
"17 Again",2009,https://www.imdb.com/title/tt0974661/?ref_=ref_ext_clz,DVD,"New Line Cinema","Mar 30, 2026"
21,2008,https://www.imdb.com/title/tt0478087/?ref_=ref_ext_clz,DVD,Sony,"Mar 15, 2026"
"21 Jump Street",2012,https://www.imdb.com/title/tt1232829/?ref_=ref_ext_clz,DVD,Sony,"Mar 30, 2026"
"24: Season 1",2002,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 10, 2026"
"24: Season 3",2004,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 10, 2026"
"24: Season 6",2007,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 10, 2026"
"24: Season 7",2009,https://www.imdb.com/title/tt0285331/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 10, 2026"
300,2006,https://www.imdb.com/title/tt0416449/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 10, 2026"
300,2006,https://www.imdb.com/title/tt0416449/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"The 40-Year-Old Virgin",2005,https://www.imdb.com/title/tt0405422/?ref_=ref_ext_clz,DVD,Universal,"Mar 29, 2026"
"50 First Dates",2004,https://www.imdb.com/title/tt0343660/?ref_=ref_ext_clz,DVD,"Columbia TriStar Home Entertainment","Mar 16, 2026"
"50 First Dates",2004,https://www.imdb.com/title/tt0343660/?ref_=ref_ext_clz,DVD,"Columbia TriStar Home Entertainment","Mar 16, 2026"
"90210: Season 1",2008,https://www.imdb.com/title/tt1225901/?ref_=ref_ext_clz,DVD,,"Mar 15, 2026"
Abigail,2019,https://www.imdb.com/title/tt7025388/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"About a Boy",2002,https://www.imdb.com/title/tt0276751/?ref_=ref_ext_clz,DVD,Universal,"Mar 12, 2026"
"About a Boy",2002,https://www.imdb.com/title/tt0276751/?ref_=ref_ext_clz,DVD,Universal,"Mar 15, 2026"
"About Schmidt",2002,https://www.imdb.com/title/tt0257360/?ref_=ref_ext_clz,DVD,"Entertainment In Video","Mar 12, 2026"
"Ad Astra",2019,https://www.imdb.com/title/tt2935510/?ref_=ref_ext_clz,DVD,"20th Century Fox","Mar 29, 2026"
